Product Name,Price,Number of Reviews,Product URL,RAM,Storage Capacity,SIM Card Slot,Model,Screen Size
"New ListingNEW, Factory Sealed Apple iPhone 14 Plus - 128 GB -  Unlocked - Black 14 +",$269.95,10 product ratings,https://www.ebay.com/itm/305777349540?_skw=phone&epid=26056267419&hash=item4731c013a4:g:jdkAAOSwVA1m4fZw&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmd31AeXekVE360W%2FSUgiOP5%2BcugZIsO1Yg%2FPEQ8yHZUnhpfgpTzAaBycFiaAi7WM2hAGp46z9NyHbs98IdGQRbcfH%2BG8KyrCsr1QBdE28GxBV8k6ONUkGO75NiELYQg0BL5c8reO3njpYOkVgonlfYwMfQs49lmz%2FT7r7huyNwQzGa4Lv8pyreTz15mp9em1Thb3fj6bkWno20mKlSctNy01v19Gf7X%2FG80H2XrTzcew%3D%3D%7Ctkp%3ABk9SR9iahti8ZA,6 GB,128 GB,Single SIM,Apple iPhone 14 Plus,6.7 in
Apple iPhone 13 - 128 GB - White (Unlocked) working 100%,$349.99,-,https://www.ebay.com/itm/156376147882?_skw=phone&hash=item2468bea7aa:g:5IUAAOSweoNmu94S&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlU0vnCHhdYPgu08tGwdcQMlot1G38oiTvjjs2urwCo2morWo6QuF3LMKe5yAvibR%2Fb5kXlHXFCYv7ShyHLPXYDKmR0gYvM6OZVM5o1%2FumDOQYxIN9iPUuNw9eCBqsL7aWBhiuuKo7DMxoOis4SUbfF48VaCx%2BfSVYyP9geNwLb3eOpTnNy2liwEG3rY6y%2FgMDbMMsUw%2Bddb1pGdR1nK0BqZD4R2PhG%2Fvh5%2Fcc5zcc7vUgTwsgilkUNtvFGBNobq8Zj7w2g9ZiUkVHRP%2BTFUIMp%7Ctkp%3ABk9SR9iahti8ZA,4 GB,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 13,6.1 in
Apple iPhone 15 A2846 T-Mobile Only 128GB Black Good,$449.99,3 product ratings,https://www.ebay.com/itm/176452503381?_skw=phone&epid=27062765619&hash=item2915638755:g:440AAOSw75JmhDyX&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkRw2rvdvw2DqHId1C9S5UHhOAaik%2BTkhaU3xkSdj396Blx0wVntaoMtAwPpltON%2FSMBxyxffXEy8pCeOF5Y4qt8M14fk8JNIfWGDgdjelJKN7SpAlKjgodOaXFp11wqLCu6kjW41iRJV0JlBxdOSuG2yuZRNByR%2BpLsnX8N3sMRI86c%2Fs1i5jtf9kLZKjOAqQ6o%2B5lvcOGcr%2BdRcGBsnS%2BLoJVjlso6NbYNIcjnwuAAg%2F3dARvAZrkMvW59%2FcvPtBD4SxToqHr85h7p%2FQCwYi8%7Ctkp%3ABk9SR9qahti8ZA,-,128 GB,-,Apple iPhone 15,-
Apple iPhone 12 64| 128 | 256GB - Fully Unlocked All Mobile Carriers - VERY GOOD,$325.00,33 product ratings,https://www.ebay.com/itm/126656772332?_skw=phone&epid=14053796604&hash=item1d7d54f8ec:g:yAMAAOSwscxmqqkL&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKknElOyu9vMtAoqoqCKR0BsZKRq6X9b%2BodMS9vIKCHEi0c4%2BHKwybV5%2FBrlgJiMxhNgQ%2FwM7iMNAdMUu9ziy8w9sHBMdxApqUig65Xw0lRWqyvadKKZnUWE%2B%2FNN7xcIw%2BpU3tnwR0PlWPIC7z3e8nzMzc4m0G2wHJ4k6rzV7fKcU5x%2BRcx%2F7s0FBmfDDISsK7pVxLLhcCmvXagFe0z852lDlpNAetIt1oz8C1hN%2FdID8t12RHgXrwFYJeDSe6KdFOTgFczu09w%2BA%2BDF9og5KvAU%7Ctkp%3ABk9SR9qahti8ZA,4 GB,-,Single SIM,Apple iPhone 12,6.1 in
Apple iPhone 12 Pro Max - 128GB - Black,$284.95,-,https://www.ebay.com/itm/387373664788?_skw=phone&hash=item5a31450a14:g:TvIAAOSwDEdm31Lp&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlwStOALeYfJEgf1wK1FMOos8TU9NONbAtAs3vGMTgT98DNtzJjFnEMoBxthWysiY2kWHAmv9YDU%2FKtFnF83hQzOR03tPfplXdc80OPGu2meDwgMaADitWCFf%2BUcPqpxNg4gnxVZS4%2FsQTHbvNsPK%2BHImDqTLEml%2Bo9sc51HfVVQMcIkdN7I5%2BGepT5jeUl1nlJuvjcuDYfuHKufab%2FhNoq0H60gDl8NJ0e3JSVMd6vtJk6qOFkp%2FU2vLlKAR%2F8blj9tySpH9qcfAtRcOZ%2FXF86%7Ctkp%3ABFBM2pqG2Lxk,-,-,-,Apple iPhone 12 Pro Max,-
Apple iPhone 12 - 64GB | 128GB - A2172 - (Unlocked) Verizon T-Mobile AT&T Metro,$265.00,6 product ratings,https://www.ebay.com/itm/266587210790?_skw=phone&epid=9057399342&hash=item3e11d60426:g:9AEAAOSwWslmdHfZ&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnaVM5piCYidQGctoo%2BuFup1wocFyE2YexDGFzqA0BUqAWBqxH23cmt0ito4bh5xx1sqeoE5NKAagq%2FJMWe35sc7amFGjQz2SxRTadZS5ELxSjjnzGOp9LpWBxPJlN1V%2B4HNyWzDRdCnR937aSyAd3rGrVihVvfd%2FFAnMbRX6S7LWnfpDtzLax0n0%2FM0sHZudMapyBa62yXzxgqPEgSfAKiiTI2rMYMnTpULftiU%2BvQIgi01iQZAA9%2BVNvC%2BbH4BBlVkvGJVpwpD%2BRjpZkwDkqR%7Ctkp%3ABFBM2pqG2Lxk,4 GB,-,Dual SIM (SIM + eSIM),Apple iPhone 12,6.1 in
Apple iPhone 12 Pro Max-128GB-6.7 in HD Display FRONT 12MP REAR 12MP-Unlocked c1,$315.00,18 product ratings,https://www.ebay.com/itm/315687681823?_skw=phone&epid=20041718665&hash=item498073bf1f:g:cDIAAOSwNSVmxXtE&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkckzmqZSPerDt8F9ABaEa75Gq2Hd9Eqmt23PCLcS8tQ4WhFovlZxcb1IaCCTB%2BAU03amo%2BsdvstZHShlgURyovzex5PJxCSdz3mQEAhZAZo4EGXPZchp%2BENafJoDa4qr7wBV6%2BWLJ74ty1j0YoJShBInSaBfDzZzjzR07FOQW2WIYmVvgSIWwUO1i8yPcskiwbOMsrI3tz3uYfcUl4%2FHfHb5dVv237P7CbfIS%2FLOv6MRwTAjf1f8PDTCFzPH7vMAaNehFm1%2BJXJmgdPFkN0J8n%7Ctkp%3ABFBM2pqG2Lxk,6 GB,128 GB,Single SIM,Apple iPhone 12 Pro Max,6.7 in
New Apple iPhone 11 - 64GB - White (Boost Mobile) A2111 (CDMA + GSM) Dual Sim,$399.95,3 product ratings,https://www.ebay.com/itm/115995206094?_skw=phone&epid=9034625721&hash=item1b01da61ce:g:oWAAAOSwUkRlaAe6&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlOAZ7oSWhQXnZ9ND5wXr0qVHajQx%2BvuhBS3uUmy3f1PjG8VOP2gOJxFMI4zuVsNzLOrJbul9ZeauAWr5LdbUwY1B1d94sYy7j6TOlNMsri6Igy9jnOzJwbhlX3ueRB%2BW7U83RpSsdMnLugYMY3R5E7G2dFtttr9ZfEiF5oAfnmGjrktSDELM%2FlJ9wq3ykGpv%2FIYlV0upSULBWfHovpUUAAQf%2FW5MJ6NqyTTE83JSfmCw%3D%3D%7Ctkp%3ABk9SR9qahti8ZA,4 GB,64 GB,Dual SIM (SIM + eSIM),Apple iPhone 11,6.1 in
Apple iPhone 11 - 64GB - Black (Verizon) BRAND NEW!,$284.95,24 product ratings,https://www.ebay.com/itm/176560924730?_skw=phone&epid=27034209755&hash=item291bd9e83a:g:qFEAAOSw7jlm2awR&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkNgzTzOBonKOFqMOZH2ax4yWyRcO7tZQG6PYwh7k9xOIecUpkm1%2FEBe5XJppjgxgF2Z6TmBIRMj0OjZdMcWrVUy78cnPnjSxKETrdD700cEyYBdY2v81wWLKrNVhiwwTuZLVvo5MkIl8Xbo9o6ftzSr5uAwbt5xUGOYxe6vnQTooyOdRhlpZ2KOZslWrVfi5yunCAhHcDF2uVJyLCFkkcEPKOh6n1E0oa1qivEGvKEJE7KDEz9UnqcC7SFoVxSRZashMDfPl%2Fgfbc6WrL3LvAf%7Ctkp%3ABk9SR9qahti8ZA,-,64 GB,-,Apple iPhone 11,6.1 in
Apple iPhone 12 64GB 128GB Unlocked Bundle with MagSafe - All Colors - Excellent,$779.95,-,https://www.ebay.com/itm/175916238822?_skw=phone&hash=item28f56cc7e6:g:YmIAAOSw65RlDgSx&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnlSdTT%2B3C3egzCHJVJZvZhNKavQ1eKBTDra0tP7QDWwG0I2tfcRA7HytBEFzTMBY8VelrcYzKDnwU6ql2tEoqvFs87Ybr3exo6o6p74LxY2o3SpGaEatr73WgXGjJ8sU9U9Gbn%2BTBYbLgWuWKmVHqkpRNWoUMsG6Ir3enj9p%2FBGzTBEQx834cr9WIsaEAuRyWPffhGaZqjd4%2FBkX8pHGIeOIT8Nh6dpZyFg%2FztH48kM0Iz%2BaXqGORre823wm6vz68HU81KPmnuifzzzoL58SFQ%7Ctkp%3ABk9SR9qahti8ZA,4 GB,128 GB,Single SIM,Apple iPhone 12,6.1 in
Apple iPhone 11 - 64 GB - Green (Unlocked) - Very Good - 88% Battery Original,$399.95,61 product ratings,https://www.ebay.com/itm/395667336062?_skw=phone&epid=28034216882&hash=item5c1f9c6b7e:g:u8EAAOSwqrhm37Zd&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKl%2BFGCCeKW2j1OaCtlI4FxOwPlhno%2Ba7l4i6S3QzXlHeYomuOFXuNJKyNF2HBWEpqdZKWwQHwMPijMm0D4gfX%2BmU5KG0rUOfplL%2Bo%2Ft98TGkLnYr3PHvkGoeRucdIH1NuVEbeAduM2gjqGbD5QTVg0drbBytiSg0nK0zCW7tLfMuYpxgE8VA222QjCLAAvVg4Y6nagrCDnWw0ypDbt44NoWNJ6mYHFgNEfeaU8bTDhUGA%3D%3D%7Ctkp%3ABk9SR9qahti8ZA,4 GB,64 GB,-,Apple iPhone 11,6.1 in
FMI OFF - FOR PARTS - Apple iPhone 14 Pro - 512 GB - Silver (Unlocked),$445.00,3 product ratings,https://www.ebay.com/itm/375633093622?_skw=phone&epid=8056260145&hash=item57757a23f6:g:TWwAAOSw941m2rQz&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmwIAzokrIq%2B%2F5fGnjpeyhPttbIYHwogrvIJ%2FXoW3m%2FCvM%2FI5kfJ1J44uqL9WwrqCqIWfCcOwk4l1GEhtWyrLOt6Vanb98mBjOLH%2F8OsC7eshPsrqcD68fRb41YerRuLhbxRooqIMPn%2Fi2SMJ%2FPjiyDiSX0eoQJ6B4y5JMyZuf2SnSPWhJFnUZds34iRB8kRLVsPtdeuxt6NTYTqEgvX%2F4yVwScLzwKvLgyJTL2PDdC4Be54QTF7lO8DnKtDeXHs92yS2JQpHMX6nGTfDK8LHFZ%7Ctkp%3ABFBM3JqG2Lxk,6 GB,512 GB,Single SIM,Apple iPhone 14 Pro,6.1 in
"Apple iPhone 12 Mini 5.4"" 64/128/256GB Factory Unlocked (Any Carrier)",$229.95,3 product ratings,https://www.ebay.com/itm/225599115540?_skw=phone&epid=2336047301&hash=item3486c15114:g:V2UAAOSwXZphKX2x&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkilchlZBwA4BtTxH7W25fATq7z6SrELT6vky7e1zWHUtV1HM3Xz1QCY0vxJW5h5Mjpu4qWl%2FACK9IQzOyfdrRxd2%2Fos2xTwbH0WrXJPT%2BAVAvJ1VA1WDltiBnzoWj5PoZB2Q8FPqMs9P9T4wWUZj0Gi5N50IhNCbq7uSxaSdOOfHnVqTI%2BbZT%2BsmdxnqNO3USazDBNI4GbojMWO8WEL71gs3BghP36Nkk8ijaH75s3lg%3D%3D%7Ctkp%3ABk9SR9yahti8ZA,-,-,-,Apple iPhone 12 mini,5.4 in
New ListingiPhone 11 pro max 256gb iOS 15.4.1 Jailbroken Dopamine,$374.99,-,https://www.ebay.com/itm/135242762777?_skw=phone&hash=item1f7d18ca19:g:ujUAAOSw0bBm13VI&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlJKF9h4FjSauDFBtYUcgCT0xshK5S4NsoSX0JqEAWf4pOx2myTJ%2BF%2F3PVbjNCQ8AcsWnRza6%2Fi0FBd9%2BTxzGeXlecr4kqiCN1qzQklxXkh%2FJbhhcKgBb80BPhwxlpCpvhgxGda7LAdD%2B6kDPzno%2Fepi3TPmoO44eyWiL65XyFul7R56G7ABOqqOeu8wZZmuLn2RPy%2FQawL82c2b5LgIDBGFq9A8o09NxwAg0y1SMKqxA%3D%3D%7Ctkp%3ABk9SR96ahti8ZA,-,-,-,Apple iPhone 11 Pro Max,-
Apple iPhone 12 128GB (GSM+CDMA) Fully Unlocked (5G) - White,$255.00,5 product ratings,https://www.ebay.com/itm/375541092743?_skw=phone&epid=17041715727&hash=item576ffe5187:g:lxAAAOSwVxJmltM8&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkPkwh2uC1AfNjjAo4%2FHBQTS0ab3kHLQBmkKRq2QchXxlv91x4yt2QvIoElNkLJccyigiE4LXZ7xgbUhYa8Y4s54apvUO1E04B9cYq7zaAewV2zLgguk8eCiMobUnAV3sPRCOvJRiBfKB6pU%2BSC09a7pNgG2BF%2FT0BrZVhiEPRUBijpR1oE5R3rtgJG2H7N4L%2Ft0D6s%2Fm2T3cNFrHXVi9RgiRHZconQjXkvQtmbJPW%2B7A%3D%3D%7Ctkp%3ABk9SR96ahti8ZA,4 GB,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 12,6.1 in
New ListingApple iPhone 14 Pro - 256 GB - Black (Unlocked),$419.99,15 product ratings,https://www.ebay.com/itm/266986455735?_skw=phone&epid=5056262890&hash=item3e29a202b7:g:Q9AAAOSwAMpm4aIH&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKm34im0Fp51AsyncRPi6%2F5u7BLyENhf29nPACrSyB2CN%2Bz3aoYN4ri2Gr92GR2JyK5kgvnE%2Fpmqb92AZ8QVQF8Uk0fp7XGs%2BKnqQr6zKIdouGwH%2BfqY6pB4lHWNU3XF4LcvuaSneGBsqGmVSHsRMMX1HX1%2Bvylgi%2BnHIQXm90r6F5szJorD0o1B%2BJ8PSuGwaa17MfygIebjLgaRBzf46BhYYwdTr2slbz9vgzdgMNnkgg%3D%3D%7Ctkp%3ABk9SR96ahti8ZA,6 GB,256 GB,Single SIM,Apple iPhone 14 Pro,6.1 in
Apple iPhone 14 Plus 128GB ATT Carrier Exclusive A2632 Midnight New Sealed,$282.19,10 product ratings,https://www.ebay.com/itm/196625255660?_skw=phone&epid=26056267419&hash=item2dc7c74cec:g:jZoAAOSwXBlm0PhP&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnqhiu2j4vd7LlWcVKUcZkvZsZ6okK6ADjjMm7JEIIvz88IEWoi%2Fu4fRqHDtRoc%2Bn%2BB1Fe0RdFc1uJdrEf86Kyzw--4otUnBwRRVJGr10lUodgoH%2F0uefMTajXA%2Fk3zdxv9kia0rIUDFrLxJB4Wgrk1GhD5y8AA82l9qnfMbAR16fVGdO3vGLca8zuESu%2FoONOFE%2B4ugRzTY8PVsIBS16t5WDoA0AJRPTl4v55860ciGg%3D%3D%7Ctkp%3ABk9SR96ahti8ZA,6 GB,128 GB,Single SIM,Apple iPhone 14 Plus,6.7 in
New ListingApple iPhone 11 - 64 GB - Black (Straight Talk),$169.95,7 product ratings,https://www.ebay.com/itm/226346555910?_skw=phone&epid=12064989149&hash=item34b34e5a06:g:QjYAAOSwDPFm4iPQ&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlrFHtpH96rJg1RXfx4SQ7wbe5wZ2WGUaFCvQFdzICxpCTPSS%2BHC6uQGefK%2FA%2F9KB1May2rlSAIaF3KzW0Mr3AKRFCKqCICZhyOUxaC0dzthu3ipUOfiq4DSsfPYWjs6sW15yA68fhMhb4xoax8oGBraD9Z0Wl%2FlyhWNiGPNZp%2BuJXJbtn2VpZb7--iFfJ1Wauui2IczN21bySYCX0b4zZWTL8DvmJSOsb56qO2z7hmDF%2F13XlDbmGZY6wwsiDD6eaYh62n4qz3X0CJc%2FO%2FjWF3%7Ctkp%3ABk9SR96ahti8ZA,4 GB,64 GB,Dual SIM (SIM + eSIM),Apple iPhone 11,6.1 in
New ListingApple iPhone 11 Pro MAX 64GB Green A2161 For Parts Only # Control 343,$85,-,https://www.ebay.com/itm/305777660185?_skw=phone&hash=item4731c4d119:g:hI0AAOSwM89mzjFM&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkYROgRumCy5y87gdQoxYc%2FdqXX4W39gD1xvNumOxVQMgknqzKvbvMjBhm8OlKskOvMQPTp2YuzKFsXFaOxUgeFMK3rPGeEjRrKQ59Aow6D7MpqzOTiBvTO%2B2kDiciSha6OMylS3OOozDuubfYWYxuUsQnN2JwanQECf%2FPvCQXLxWBaxUOwQcajuTrwMIgx4vhR4%2Fbwv%2FgRMrUXm3DozlMpxMKGRwEi6KWXQAamwlMYbA%3D%3D%7Ctkp%3ABk9SR96ahti8ZA,4 GB,64 GB,Dual SIM (SIM + eSIM),Apple iPhone 11 Pro Max,6.5 in
"Apple iPhone 13 Mini 5G 5.4"" 128GB 256GB 512GB Factory Unlocked (Any Carrier)",$449.99,14 product ratings,https://www.ebay.com/itm/354120475504?_skw=phone&epid=10049287400&hash=item527339a370:g:Th8AAOSwf09isXPI&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm71qv38Eu1NWUkXeUVz8S6o0Lcwtq1dv4%2BV6Yq8m5fwGzQTJKdzqq58xhzvyNqK42o253O%2Fmql5xH07ZwAPapRy032%2B9svvzstGCd986QRSQRLjnA1lZz4wb5qxCMs4m8lyI%2BAlfDi79OCP2W93G%2BaNTELvXaJWsRjp09ODHlOCVdkNk9Lzq007jVHu8Vzb3F8G8yW%2B2YzuJiAInZcKT9dE67oBu9Q6T18DVqvlGX43f8fBU6REwfhI0dhnXOoT%2Fh%2B8Hq%2Fmsz4toviJVkxgxuU%7Ctkp%3ABk9SR-Cahti8ZA,-,-,-,Apple iPhone 13 mini,5.4 in
"New ListingApple iPhone 12 128GB A2172 6.1"" Color Blue Repair Or Parts # Control 132",$325.00,-,https://www.ebay.com/itm/305777490151?_skw=phone&hash=item4731c238e7:g:fuIAAOSwCExmdxun&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnlI3IsNiX2dRlJ%2FcmepZfnnRE%2Fcu5dAttQ%2FqNQCLSNzzHXbwfUqxRMs0R0%2BiuhoeeCgNIzvbNyGg9WCbGj2Qf4hsAMwLO%2B%2BKVXrWMUlk5tYx4cujRrZs%2B9JQCnnODwOJX6hdnGMIVv%2FLIMcAk%2BHNDjUJb%2B91AHisVK22K8TiZWnCub7Cp39RD42qWRbJRbc%2B5HI0a67x6i0q4G1276g6KYYu6Jprz9txMK25DNuTHgj%2F5%2FPjgVyMwl3tQ1y%2FyNPtZCd4J6Li3N0yNQjYZF43aY%7Ctkp%3ABk9SR-Cahti8ZA,-,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 12,6.1 in
Apple iPhone 12 Pro 128GB GSM/CDMA Unlocked - Graphite - Motherboard Damage Read,$284.95,36 product ratings,https://www.ebay.com/itm/126666974905?_skw=phone&epid=8041719718&hash=item1d7df0a6b9:g:KgAAAOSwGxxm37mv&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkEhSGCJCoUnlhp%2BjsSEGQo3UxsPvt5vrMRjlaIJEdTqSuCGZdGtbye8c9AcC3StPtn790%2FCxHn7Nd2AlrUgI8bN6mrPXgucvVG1GN6ieBJ8xTWu79xAU%2FWOa5HJZMAZ456NQsC%2FnuGDji7VSSJD4V5Aaos9EMLiCydfhLU%2FZilANYtgneAe3GAaplNbUKpGlM2zcrRIsrFoD2sszB0pxbyF1iL95DydmCd6yHlZUsqIA%3D%3D%7Ctkp%3ABk9SR-Cahti8ZA,6 GB,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 12 Pro,6.1 in
Apple iPhone 12 - 64GB 128GB 256GB - All Colors - Excellent Condition,$265.00,32 product ratings,https://www.ebay.com/itm/275722485841?_skw=phone&epid=12041705164&hash=item4032574051:g:KK8AAOSwg4FiawAp&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnbMa9dICgGBNT8dzyqyZky7J1oditBuPk0gra9gmufcD11WHmVuBHOYMWNsw16SCpfZt2E7AzT6ycWEOCbwiIaGMUvCsOLFTMC4%2FxpYj8GFoX2hqBG44qTzpuoA6iFaljRtVRyISe1EGIyf1ScdURDGAIzz%2B5X4a6QWl6I%2FWO8pSg3BFuhfIR52Kcj7oG5ASPAFY%2FOkx5WxRTs2exJXNbw4YPV4RVLXCzOwCYoFmsk3w%3D%3D%7Ctkp%3ABk9SR-Cahti8ZA,4 GB,-,Dual SIM (SIM + eSIM),Apple iPhone 12,6.1 in
Apple Iphone 11 Black 64 GB   BRAND NEW & SEALED,$315.00,74 product ratings,https://www.ebay.com/itm/204982727597?_skw=phone&epid=18043621274&hash=item2fb9ec33ad:g:c9gAAOSwV4Jm3auw&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmmb7IZhj5xWivQzu6DPi9fUx8mziLEGi8jxrxlGg8yaM1Y5PAnqSxcARHUxnlq9ZX6fHM6w3uesoxQSLc1dmJfurS%2FF63B2cl8WlC66mdAAJkKyS7Ayc76mVDRVJj6Tbr%2FvR12qFRJxOJcgjIjNtoXUDYa%2FAqiOx36GZeOjv4hik5jhwqNaMXgjviF4KLGwCv5ZwhPFn9XY9JL2BVeNFYnouzD2rnR1wWSbrH75HDdNe%2BTRvXlsPNA5FQHXA3AzoecHaonSA7RNGfpmdZuct0g%7Ctkp%3ABk9SR-Cahti8ZA,-,64 GB,-,Apple iPhone 11,-
Apple iPhone 11 - 64 GB - White (Unlocked) (CA) Ios 14.8.1,$399.95,39 product ratings,https://www.ebay.com/itm/305764760098?_skw=phone&epid=10034217463&hash=item4730fffa22:g:JjQAAOSwUOFm18-A&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkHHfztRTy1%2FfOL95z58ieeLUKkN8oSmFaSHXP0NfBuqUbvaqmpYpNjd50B9y8U%2B%2FBu9CIBmxx5aYg0002RmyqGgGOGQZtjE%2F18h9eruDFKcbF5u2loQIm%2BgWU8%2FiZ7PmSEdvYD1cKCnR15%2BlrZO%2BHDg%2BtlZW2DTb2AY8O7lS4biqwKKKAHNLXRTETztm6QAX0o9XocOCMOHFSXDJkRNfCdXZTmO58nSGG7%2FeL0eFtRWg%3D%3D%7Ctkp%3ABk9SR-Cahti8ZA,4 GB,64 GB,-,Apple iPhone 11,6.1 in
New ListingApple iPhone 11 64GB Black (AT&T) A2111 CDMA + GSM New In Open Box Smartphone,$284.95,29 product ratings,https://www.ebay.com/itm/146019988551?_skw=phone&epid=8034218288&hash=item21ff783447:g:wxkAAOSwpQdm4fut&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnxFKAl%2BwM4Z9jDwZXJtE9UkWa%2BhxAJVLNqEKavk4mA3cFdLgKMD%2FR%2FSDDFfGiutW5flU16cKO6idXEQwxUoxNeNs8ARL70fOfSvmW%2FWxdUo%2FA0KC6gFmzEiAbFM1kqNpw8AZYZcMT6WVwc9oID1DPCJWZRdh9EoYZI8HeLPvp%2B%2FL3fsQfuT%2F6sjRYoA8z%2Fjvh6NCDrJz%2Bhd9RFnlp1uM%2BIdBLUlWB04HypikpTZi%2B%2FrQ%3D%3D%7Ctkp%3ABk9SR-Cahti8ZA,-,64 GB,-,Apple iPhone 11,6.1 in
iPhone 13 - 128GB - Network Locked - Pre-Owned Very Good Condition,$779.95,-,https://www.ebay.com/itm/145699025662?_skw=phone&epid=11056674541&hash=item21ec56b2fe:g:NM4AAOSwDZxmCw8u&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkeG4edgA7gNnSybaf2JlhQlExrJ2dJs4VnqKbTy711ny%2Bvc1xyGX5oQy3RIWx0lTYpUIZ2d--coeys%2BWi8i7Bs0%2B6m4lzanBDF8ev6Ftlw8WMC%2FeHUBPl5ZIyqw2nNapmE0%2F7aj2VQgfcyQjUyBUXV7NAXe6gdeWx4mHC2EDD6iQtxffCBI7cwIToGPBoXc100l251EFlH3wJYwbmLhXRruUPRyUtwXdShM6Nw8BF596RWX%2FJ5Pgz66ofJtepWZr9HViE%2B5oABpWZO4aj5EJ6I%7Ctkp%3ABk9SR-Cahti8ZA,-,-,Single SIM,Apple iPhone 13,-
IPhone 11 64 Gb (FOR PARTS ONLY),$399.95,-,https://www.ebay.com/itm/126667955402?_skw=phone&hash=item1d7dff9cca:g:MmsAAOSwVsFm4JvM&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk5%2B9Ljhfen6dIz3bkxRxdX3c4zrujZBS2IXEE8cVjl0vGOcQjd6MC4vbjq23f88ta9%2F3pzbsMQJ45OsVgnW3QcQzdeqhXAtybnb8rwA2fSiPaj%2B2GNKNNs7rzh3TIOAOEsx8idkxqhfUVdJ--G%2FlIsaKaLGEOgdc%2Bwr1enGskHGGWwFQspKhlFTjoaQdo7YyDLyMEhCZ5gTZliVINDzPZEo7XuGkUvreA%2FmSJlMZuVEcrv%2BA5TI6MqFS9YtCpxr0OqrRXua0daz4Gn7e50pkTp%7Ctkp%3ABk9SR-Cahti8ZA,-,64 GB,-,iPhone 11 A2111,-
Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,$445.00,2 product ratings,https://www.ebay.com/itm/166613095133?_skw=phone&epid=20062769703&hash=item26caea12dd:g:b8QAAOSwsndl2OuI&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnFe%2BUlOWvDpusHMPIWAOM51y%2BtXA9iGhUEpHPaFqIgmpb9kRjuYbFeYqjVYm5jmDZSo9Md2U95rBoAJM29CpZlB0BsH4FkTLK%2F0hTKaXN6pi8eZjJ%2BHB5PbZEXFEhxohvH9pzXGzmyocGgM0AiT4saQAWFEvV9wV3rmZSfV0c9vnksX3m%2FB%2F7uWDkVKNL8e0EWeAVQv3m422sxMroClMTM8C4rCHxEfdypjVLTTycNNNNAepsbqUHW21kPyc1NGL5SKJjWyprFbD4S2tAL0ahy%7Ctkp%3ABFBM4tGg2Lxk,8 GB,256 GB,eSIM,Apple iPhone 15 Pro,6.1 in
